"ID","Sexe","condition","birthdate","parent","prop.lg","prop.lg.mat","prop.lg.pat","prop.ad.nid","epm1.ordre","epm1.n.essais","epm1.essai2","epm1.feces","epm1.poids","epm1.date","of1.ordre","of1.feces","of1.date","dlb1.ordre","dlb1.feces","epm2.ordre","epm2.feces","epm2.date","pm2.poids","of2.ordre","of2.feces","dlb2.ordre","dlb2.feces","X","session","pup","back_out","noze_out","tail1_out","tail2_out","dist_cm_back","lat_nose","lat_eye","lat_back","lat_tail1","lat_tail2","nb_out_nose","nb_out_eyeR","nb_out_eyeL","nb_out_back","duree_central","entrees_central","dist_cm_back_central","duree_cote_porte","dist_cm_back_cote_porte","duree_cote_opp_porte","dist_cm_back_cote_opp_porte","nb_rear","video"
"B1_6","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"7",1,"na",3,9.24,"14/03/22",8,3,"15/03/22",8,5,"3","1","08/04/22","10.49",8,"6",4,2,75,"1",6,121.76,149.68,120.8,120.64,594.030118000407,2.32,2.44,2.8,3.6,3.68,19,10,9,8,1.48,3,34.7002034651362,77.16,253.794260082941,28.76,161.752861718831,6,"DLB_1_B1_6"
"B1_8","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"1",1,"na",0,8.2,"14/03/22",5,10,"15/03/22",1,2,"6","1","08/04/22","12.21",4,"4",6,2,80,"1",8,31.68,56,19.76,19.88,199.410139639051,60.2,60.44,60.88,62.32,62.4,10,6,5,4,1.28,1,14.5920580003829,33.52,94.0725195539586,3.56,41.7289522706789,1,"DLB_1_B1_8"
"B1_8","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"1",1,"na",0,8.2,"14/03/22",5,10,"15/03/22",1,2,"6","1","08/04/22","12.21",4,"4",6,2,233,"2",8,21.76,33.56,18.64,18.16,137.46430278733,30.52,30.72,33.52,36.24,36.52,6,3,3,2,0,0,0,14.08,54.990713330265,8.68,44.7733293444566,1,"DLB_2_B1_8"
"B1_3","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"6",1,"na",2,7.71,"14/03/22",3,12,"15/03/22",6,5,"4","1","08/04/22","10.59",7,"3",1,0,231,"2",3,27.4,35.64,21.6,19.4,101.642270083875,38.96,40.36,40.92,44.72,47.28,5,2,2,1,0.2,1,2.70193900468065,18,43.0998426698501,6.68,16.1669342699212,1,"DLB_2_B1_3"
"B1_2","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"3",1,"na",2,8.81,"14/03/22",4,3,"15/03/22",2,4,"2","3","08/04/22","11.62",6,"10",5,0,234,"2",2,61.32,64.88,56.52,53,354.405608034132,22.04,22.12,22.56,23.16,23.36,12,7,4,12,2.04,5,51.5623484582777,47.6,148.467894345011,10.2,70.4048591593865,5,"DLB_2_B1_2"
"B1_4","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"4",1,"na",NA,9.39,"14/03/22",9,8,"15/03/22",5,8,"9","0","08/04/22","12.13",3,"1",10,0,78,"1",4,57.24,75.08,55.04,50.24,317.209984380561,14.28,14.4,15.52,16.6,16.64,12,12,11,4,1.32,3,18.9792466769571,33.92,138.213373072978,9.64,58.8892460032682,6,"DLB_1_B1_4"
"B1_4","m","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"4",1,"na",NA,9.39,"14/03/22",9,8,"15/03/22",5,8,"9","0","08/04/22","12.13",3,"1",10,0,232,"2",4,129.24,174.2,112,107.08,607.979409300014,4.12,4.16,24.36,26.44,27.44,24,15,15,7,0.84,3,32.460978675063,85.36,225.47811369947,44.12,177.544677141839,23,"DLB_2_B1_4"
"B1_3","f","B","07/02/22","B1",0.208333333,0.0625,0.098958333,0.75,"6",1,"na",2,7.71,"14/03/22",3,12,"15/03/22",6,5,"4","1","08/04/22","10.59",7,"3",1,0,82,"1",3,138.04,154.64,136.44,133.8,755.417103562564,36.8,1.24,37.36,38.04,38.2,21,13,14,7,9.28,9,125.464059266685,72.36,283.551846971342,26.32,138.825707509336,23,"DLB_1_B1_3"
"B10_6","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"2",1,"na",0,12.72,"30/07/22",2,10,"31/07/22",1,1,"","","22/08/22",NA,7,"2",3,0,121,"1",6,15.76,49.32,11.24,9.32,45.4442832025975,0.32,7.2,53.08,234.64,234.68,8,5,5,4,0,0,0,21.68,45.4442832025975,0,0,0,"DLB_1_B10_6"
"B10_5","m","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"5",1,"na",4,12.45,"30/07/22",6,5,"31/07/22",7,0,"","","22/08/22",NA,2,"6",6,1,119,"1",5,169.72,164.12,165.32,162.8,910.898660565565,13.16,13.28,13.76,14.88,14.92,24,14,14,9,16.2,11,156.745996352646,54.36,263.817623722777,87.8,251.013310470955,12,"DLB_1_B10_5"
"B10_6","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"2",1,"na",0,12.72,"30/07/22",2,10,"31/07/22",1,1,"","","22/08/22",NA,7,"2",3,0,281,"2",6,43.92,108.84,32.04,32.2,207.010596882812,1.16,1.32,4.12,15.72,15.76,22,16,12,7,2.32,1,18.4610176404938,28.28,66.6601330179496,11.36,50.1418004917084,4,"DLB_2_B10_6"
"B10_3","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"7",1,"na",0,12.65,"30/07/22",1,5,"31/07/22",5,0,"","","22/08/22",NA,5,"3",1,0,280,"2",3,17.48,57.96,15.72,17,104.070629753728,2.92,3.2,5,6.28,6.72,11,6,4,2,1.88,2,39.4171378435925,17.24,39.3455713444266,2.6,19.396651787123,2,"DLB_2_B10_3"
"B10_3","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"7",1,"na",0,12.65,"30/07/22",1,5,"31/07/22",5,0,"","","22/08/22",NA,5,"3",1,0,114,"1",3,252.28,225.6,247.52,243.68,934.599979522377,13.2,13.28,13.72,14.04,14.16,21,19,19,4,5.32,12,138.300107361486,56.2,200.322926992573,174.28,352.151337507666,22,"DLB_1_B10_3"
"B10_4","m","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"3",1,"na",0,11.84,"30/07/22",7,4,"31/07/22",6,3,"","","22/08/22",NA,1,"0",7,0,34,"1",4,140.68,167.64,136.2,137.16,609.601161699425,46.4,46.84,47.6,49.48,49.52,22,13,14,6,4.96,4,58.5394146927073,78.72,255.086190810514,42,145.259394846367,16,"DLB_1_B10_4"
"B10_5","m","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"5",1,"na",4,12.45,"30/07/22",6,5,"31/07/22",7,0,"","","22/08/22",NA,2,"6",6,1,264,"2",5,1.28,38.44,0,0,1.63120791901574,7.04,7.16,16.28,300,300,11,4,4,1,0,0,0,5.12,1.63120791901574,0,0,0,"DLB_2_B10_5"
"B10_2","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"1",1,"na",1,9.37,"30/07/22",5,10,"31/07/22",3,0,"","","22/08/22",NA,6,"3",4,0,118,"1",2,74.56,90.4,68.4,68.4,501.973468667153,2.32,2.56,5.64,6.44,6.48,17,10,11,6,4.32,10,83.712869708961,26.16,140.46591790293,31.32,125.642316280974,7,"DLB_1_B10_2"
"B10_1","m","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"6",1,"na",0,12.02,"30/07/22",4,6,"31/07/22",4,1,"","","22/08/22",NA,3,"5",5,0,113,"1",1,20.2,69.68,17.52,17.28,122.509982721485,4.24,5.6,6.84,10,10.04,24,12,13,2,0,0,0,12.64,40.6568882581578,8.48,44.0340565375765,0,"DLB_1_B10_1"
"B10_1","m","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"6",1,"na",0,12.02,"30/07/22",4,6,"31/07/22",4,1,"","","22/08/22",NA,3,"5",5,0,263,"2",1,0,33,0,0,0,13.76,55.76,300,300,300,8,2,2,0,0,0,0,3.28,0,0,0,0,"DLB_2_B10_1"
"B10_7","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"4",1,"na",2,10.5,"30/07/22",3,3,"31/07/22",2,0,"","","22/08/22",NA,4,"9",2,0,120,"1",7,76.52,80.04,73.12,72.6,426.058985063353,11.16,11.24,11.6,12.64,12.68,15,11,11,5,6.68,6,80.8491268049735,32.88,146.521932136649,27.32,108.675465148914,13,"DLB_1_B10_7"
"B10_7","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"4",1,"na",2,10.5,"30/07/22",3,3,"31/07/22",2,0,"","","22/08/22",NA,4,"9",2,0,268,"2",7,19.4,34.28,18.12,18.4,164.024115181933,20.72,20.88,22.16,22.96,23,10,5,5,3,1.84,2,36.1574598636262,6.4,21.8001205719127,10.12,46.2744218620559,3,"DLB_2_B10_7"
"B10_2","f","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"1",1,"na",1,9.37,"30/07/22",5,10,"31/07/22",3,0,"","","22/08/22",NA,6,"3",4,0,275,"2",2,87.28,118.6,78.96,76.32,505.718949285829,3.24,3.32,3.88,5.96,6,21,11,10,11,6,7,83.4842330005899,51.24,159.722775101031,25.36,128.303443867787,9,"DLB_2_B10_2"
"B10_4","m","B","23/06/22","B10",0.242105263,0.157894737,0.084210526,0.789473684,"3",1,"na",0,11.84,"30/07/22",7,4,"31/07/22",6,3,"","","22/08/22",NA,1,"0",7,0,267,"2",4,38.76,76,31.6,31.8,169.914919788081,9.2,9.4,11.28,14.84,14.88,10,8,8,9,0.16,1,2.90451019458469,45.2,85.1958186529205,5.72,42.2219864093686,2,"DLB_2_B10_4"
"B2_5","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"3",1,"na",NA,9.63,"07/03/22",2,5,"08/03/22",5,1,"4","0","01/04/22","13.82",4,"8",4,2,226,"2",5,47.88,88.36,42.52,41.36,267.393689702174,1.04,0.16,5.52,6.36,6.4,28,13,11,7,1.16,2,16.9295521161866,44.88,138.63688902257,7.52,47.1211843204565,2,"DLB_2_B2_5"
"B2_5","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"3",1,"na",NA,9.63,"07/03/22",2,5,"08/03/22",5,1,"4","0","01/04/22","13.82",4,"8",4,2,378,"1",5,150.76,154.44,140.16,133.32,900.004396014984,22.16,22.6,25.24,25.4,25.44,19,15,14,7,16.84,11,166.126687951213,85.16,295.473764765325,28.64,188.122284538912,43,"DLB_1_B2_5"
"B2_4","f","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"4",1,"na",NA,8.47,"07/03/22",5,2,"08/03/22",4,0,"7","x","01/04/22","12.22",7,"2",7,0,237,"2",4,85.04,123.68,64.16,62.6,449.724114127685,17.56,0.12,18.8,21.96,22,11,6,6,4,0.64,2,34.9791022555326,60.72,165.421035459,22.8,123.384331142139,12,"DLB_2_B2_4"
"B2_2","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"1",1,"na",NA,10,"07/03/22",3,2,"08/03/22",6,0,"3","0","01/04/22","15.21",1,"3",1,1,229,"2",2,36.04,62.12,27.92,27.96,146.57870532782,0.32,1.32,3.72,203.72,203.76,6,6,6,4,0,0,0,34.92,65.5718033795158,6.88,42.0040629139647,0,"DLB_2_B2_2"
"B2_3","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"2",1,"na",NA,10.21,"07/03/22",1,9,"08/03/22",2,2,"2","0","01/04/22","14.82",3,"7",2,4,223,"2",3,37.48,102.16,34.28,35.16,288.555175741559,9.92,0.04,0.04,1.04,1.08,15,14,13,3,2.16,3,41.9270398412694,20.72,120.537997162658,12.68,79.7332724357793,1,"DLB_2_B2_3"
"B2_1","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"5",1,"na",NA,9.57,"07/03/22",4,3,"08/03/22",1,2,"1","0","01/04/22","14.2",2,"7",3,2,236,"2",1,31.84,99.44,28.56,29.12,169.1384452706,18.52,0.4,19.84,22.2,22.24,13,22,23,4,0.44,1,6.82839961716274,34.28,82.2593762965148,2.88,38.3303818527144,2,"DLB_2_B2_1"
"B2_7","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"6",1,"na",NA,10.25,"07/03/22",7,5,"08/03/22",7,1,"6","0","01/04/22","13.24",5,"4",6,1,32,"1",7,42.88,86.8,33.56,31.48,271.813843297937,3.24,3.32,4.08,4.32,4.56,16,14,14,8,1.8,3,35.8611153113815,46.84,148.0234408161,4.76,25.9396633091092,8,"DLB_1_B2_7"
"B2_8","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"7",1,"na",NA,8.77,"07/03/22",6,7,"08/03/22",3,3,"5","1","01/04/22","14.94",6,"6",5,2,379,"1",8,91.72,120.24,83.32,81.2,625.013906764281,26.08,26.24,27.12,28.52,28.64,20,12,12,10,2.44,3,34.1073358213569,57.24,286.617847903623,25.88,152.611000706987,9,"DLB_1_B2_8"
"B2_4","f","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"4",1,"na",NA,8.47,"07/03/22",5,2,"08/03/22",4,0,"7","x","01/04/22","12.22",7,"2",7,0,377,"1",4,101.24,126.32,97.04,96.24,704.430147261823,13.64,14.68,15.08,16.12,16.16,24,12,14,9,5.96,7,85.2290733570682,43.64,201.448752585539,45.52,236.4796675061,23,"DLB_1_B2_4"
"B2_2","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"1",1,"na",NA,10,"07/03/22",3,2,"08/03/22",6,0,"3","0","01/04/22","15.21",1,"3",1,1,374,"1",2,35.2,85.6,27,24.32,261.677862788991,7.84,7.96,9.88,10.56,10.72,19,14,13,9,0.72,2,7.96669874010614,39.56,152.727911654882,4.28,21.2627852000941,12,"DLB_1_B2_2"
"B2_1","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"5",1,"na",NA,9.57,"07/03/22",4,3,"08/03/22",1,2,"1","0","01/04/22","14.2",2,"7",3,2,373,"1",1,23.16,62.6,18.44,17.08,147.146704847063,3.68,3.8,4.32,5.4,6.12,14,9,8,8,0.08,1,1.31678719026722,33.64,86.9027380411056,2.92,19.0578227222562,0,"DLB_1_B2_1"
"B2_7","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"6",1,"na",NA,10.25,"07/03/22",7,5,"08/03/22",7,1,"6","0","01/04/22","13.24",5,"4",6,1,51,"2",7,44.12,81.4,35.76,34.64,174.505099225934,1.64,0.56,15.12,17.32,17.4,17,5,5,4,1.16,1,9.22151994345446,42.8,90.6149289705928,9.12,43.3542051955942,4,"DLB_2_B2_7"
"B2_3","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"2",1,"na",NA,10.21,"07/03/22",1,9,"08/03/22",2,2,"2","0","01/04/22","14.82",3,"7",2,4,375,"1",3,116.76,138.44,114.12,91.72,726.056919353861,1.64,0.04,3.44,0.04,0.36,17,14,14,9,6.36,8,92.5954898281227,41.52,241.524138694441,44.96,174.949714366653,4,"DLB_1_B2_3"
"B2_8","m","B","31/01/22","B2",0.244791667,0.088541667,0.161458333,0.895833333,"7",1,"na",NA,8.77,"07/03/22",6,7,"08/03/22",3,3,"5","1","01/04/22","14.94",6,"6",5,2,244,"2",8,30.6,81.88,26.04,25.52,185.829175810171,10.2,0.76,10.68,14,14.04,16,9,8,2,3.8,1,16.7858667811634,21.52,65.6834116590936,7.76,45.9884926780091,3,"DLB_2_B2_8"
"B3_4","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"3",1,"na",0,8,"29/08/22",1,0,"30/08/22",2,2,"5","0","23/09/22","45931",3,"0?",3,0,86,"1",4,19.2,58.4,16.04,15.8,171.237472154033,6.76,7.12,7.6,9.36,9.44,14,6,6,6,0.28,1,3.33243523828207,18.4,67.2413631112503,5.96,42.414319216377,2,"DLB_1_B3_4"
"B3_6","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"1",1,"na",1,7.26,"29/08/22",5,8,"30/08/22",6,1,"6","3","23/09/22","41883",4,"6",4,0,241,"2",6,95.2,130.96,83.44,84.04,538.195505367202,18.04,18.12,18.6,19.8,20,20,14,15,11,3.96,5,60.6238630535241,71.68,238.804417655938,19.6,109.219698802455,25,"DLB_2_B3_6"
"B3_5","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"4",1,"na",0,8.05,"29/08/22",6,5,"30/08/22",3,1,"3","0","23/09/22","18933",2,"6",2,0,240,"2",5,24.48,42.44,22.8,23.24,231.136983718371,10.08,10.48,15.72,16.24,16.36,10,6,7,3,0.68,1,18.7077058367281,16.8,94.0953640472749,9.4,58.1538904678312,5,"DLB_2_B3_5"
"B3_2","f","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"6",1,"na",0,8.33,"29/08/22",3,5,"30/08/22",5,1,"2","1","23/09/22","33482",6,"2",6,0,53,"2",2,58.08,105.56,50.72,52.92,200.043882715819,23.08,23.28,26.88,28.04,28.08,13,9,9,4,0.72,2,12.2178832211491,38.88,81.3642663488367,11.84,50.8687166322901,2,"DLB_2_B3_2"
"B3_3","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"2",1,"na",1,7.92,"29/08/22",2,5,"30/08/22",4,0,"4","1","23/09/22","18872",1,"7",1,1,33,"1",3,49.76,62.28,47.76,44.88,300.420202437374,7.76,7.84,8.12,8.64,8.8,18,10,10,5,2.04,4,41.4376629961176,34.16,116.136170142384,11.12,53.2543456165822,7,"DLB_1_B3_3"
"B3_1","f","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"5",1,"na",3,8.54,"29/08/22",4,3,"30/08/22",1,0,"1","0","23/09/22","15646",5,"6",5,0,380,"1",1,28.6,59.56,22.56,20.8,266.545312445025,0.64,0.8,1.76,5.84,5.96,15,10,10,7,0.92,2,21.1018667762751,26.04,92.6750261078086,9.92,95.3096882084392,5,"DLB_1_B3_1"
"B3_5","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"4",1,"na",0,8.05,"29/08/22",6,5,"30/08/22",3,1,"3","0","23/09/22","18933",2,"6",2,0,83,"1",5,12.72,35.92,11.16,10.76,131.381628984628,13.32,0.04,158.32,159.48,159.8,15,10,10,2,0.68,2,15.2679731932491,9.76,48.7688219287962,3.84,38.234320181825,0,"DLB_1_B3_5"
"B3_6","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"1",1,"na",1,7.26,"29/08/22",5,8,"30/08/22",6,1,"6","3","23/09/22","41883",4,"6",4,0,6,"1",6,113.44,149.08,100.16,93,770.329886882039,3.6,3.52,5.16,6.96,8.56,20,16,15,11,4.16,9,103.064174703913,84.36,286.219174207525,25.6,173.729476315434,22,"DLB_1_B3_6"
"B3_4","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"3",1,"na",0,8,"29/08/22",1,0,"30/08/22",2,2,"5","0","23/09/22","45931",3,"0?",3,0,245,"2",4,50.4,89.4,42.2,42.2,371.934795960737,4.8,5.2,20.32,24.76,24.8,14,10,9,6,0.52,1,17.1672599305012,35,154.511895761468,13.52,92.4096117211054,1,"DLB_2_B3_4"
"B3_1","f","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"5",1,"na",3,8.54,"29/08/22",4,3,"30/08/22",1,0,"1","0","23/09/22","15646",5,"6",5,0,238,"2",1,16.6,38.72,11.64,11.52,81.7513130020547,11.56,12.04,282.76,288.36,288.44,3,3,3,1,0,0,0,9.32,32.4512200842785,5.64,9.55398787194172,0,"DLB_2_B3_1"
"B3_2","f","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"6",1,"na",0,8.33,"29/08/22",3,5,"30/08/22",5,1,"2","1","23/09/22","33482",6,"2",6,0,381,"1",2,101.48,109.24,101,97,670.281949581038,16.32,16.4,17.32,17.56,18.04,28,18,15,6,5.08,8,103.853892934826,68.76,295.947666483188,16.48,107.248696291787,18,"DLB_1_B3_2"
"B3_3","m","B","25/07/22","B3",0.176470588,0.088235294,0.102941176,0.779411765,"2",1,"na",1,7.92,"29/08/22",2,5,"30/08/22",4,0,"4","1","23/09/22","18872",1,"7",1,1,239,"2",3,26.76,58.44,20.48,20.36,160.93172050556,8.56,8.88,15.52,18.96,19.12,13,4,4,5,0.6,1,9.08711665530668,31.24,106.877834526878,1.92,11.7179571113526,1,"DLB_2_B3_3"
"B4_5","m","B","10/04/22","B4",0.114583333,0.052083333,0.0625,0.953125,"2",1,"na",1,9.34,"17/05/22",1,6,"18/05/22",2,3,"6","0","09/06/22","12.88",6,"3",7,0,58,"2",5,44.72,83.92,37,36.8,178.836828283889,13.08,13.16,14.2,17.84,18.28,13,11,10,5,0.68,2,21.8534929673739,45.8,114.764542259489,6.48,9.43224995734256,3,"DLB_2_B4_5"
"B4_7","f","B","10/04/22","B4",0.114583333,0.052083333,0.0625,0.953125,"7",1,"na",1,8.61,"17/05/22",7,0,"18/05/22",1,1,"5","1","09/06/22","11.44",2,"4",4,0,261,"2",7,46.36,76.92,23.96,22.24,199.32184942253,13.84,13.88,14.92,19.72,20.08,7,6,6,13,0.28,1,5.91983525805196,53.6,108.439231309386,9.48,45.8994686989584,9,"DLB_2_B4_7"
"B4_6","m","B","10/04/22","B4",0.114583333,0.052083333,0.0625,0.953125,"4",1,"na",0,9.07,"17/05/22",6,2,"18/05/22",6,0,"7","0","09/06/22","12.5",7,"3",6,0,89,"1",6,77.84,138.6,52.76,51.8,290.268741443664,12.72,25.36,27.36,40.64,40.68,23,10,10,8,0.44,2,20.4502583811761,80.96,167.884254681489,6.8,23.1485482796056,10,"DLB_1_B4_6"
"B4_6","m","B","10/04/22","B4",0.114583333,0.052083333,0.0625,0.953125,"4",1,"na",0,9.07,"17/05/22",6,2,"18/05/22",6,0,"7","0","09/06/22","12.5",7,"3",6,0,249,"2",6,5.8,109.32,0,0.12,4.62903540368844,15.12,15.24,113.8,300,300,5,9,7,2,0,0,0,23.24,4.62903540368844,0,0,0,"DLB_2_B4_6"
"B4_3","f","B","10/04/22","B4",0.114583333,0.052083333,0.0625,0.953125,"5",1,"na",1,10.06,"17/05/22",3,2,"18/05/22",5,3,"4","2","09/06/22","13.42",4,"3",2,0,243,"2",3,140.96,134.68,105.68,101.68,391.88440451228,20.64,20.8,21.12,22.48,23.36,14,10,9,6,17.04,3,50.1959429854868,99.2,193.139172622405,24.12,77.9320342868907,23,"DLB_2_B4_3"
